,icao,iata,name,shortName,municipalityName,countryCode,lat,lon,from,averageDailyFlights,dist,co2KGPerPerson,percentageco2(%)
105,MPTO,PTY,"Tocumen, Tocumen",,Tocumen,PA,9.071359,-79.3835,BOS,0.57,3779.06,434.59,11.976333382937328
106,KPSM,PSM,"Portsmouth  at Pease, Portsmouth",at Pease,Portsmouth,US,43.0779,-70.8233,BOS,0.57,80.59,9.27,0.2554605730914863
107,KHDN,HDN,"Yampa Valley, Hayden",Yampa Valley,Hayden,US,40.4812,-107.218,BOS,0.57,3011.14,346.28,9.542706283723827
108,TNCM,SXM,"Princess Juliana, Saint Martin",Princess Juliana,Saint Martin,SX,18.041,-63.1089,BOS,0.5,2798.78,321.86,8.869745421275706
109,MBPV,PLS,"Providenciales, Providenciales Island",Providenciales,Providenciales Island,TC,21.7736,-72.2659,BOS,0.45,2286.52,262.95,7.246316903387953
110,TIST,STT,"Cyril E. King, Charlotte Amalie, Harry S. Truman Airport",Cyril E. King,"Charlotte Amalie, Harry S. Truman Airport",VI,18.3373,-64.9734,BOS,0.45,2724.55,313.32,8.634402023842986
111,EKCH,CPH,"Copenhagen Kastrup, Copenhagen",Kastrup,Copenhagen,DK,55.6179,12.656,BOS,0.43,5907.16,679.32,18.72054762810232
112,KNZY,NZY,"North Island Naval Air Station-Halsey Field, San Diego",North Island Naval Air Station-Halsey Field,San Diego,US,32.6992,-117.215,BOS,0.43,4168.06,479.33,13.20926823084597
113,SBGR,GRU,"Guarulhos - Governador André Franco Montoro, São Paulo",Guarulhos - Governador André Franco Montoro,São Paulo,BR,-23.435556,-46.473057,BOS,0.43,7709.62,886.61,24.432998781946353
114,RKSI,ICN,"Incheon, Seoul",Incheon,Seoul,KR,37.4691,126.451,BOS,0.43,10988.44,1263.67,34.82393337632347
115,KAVL,AVL,"Asheville Regional, Asheville",Regional,Asheville,US,35.4362,-82.5418,BOS,0.29,1259.99,144.9,3.993121579391194
116,KPDK,PDK,"DeKalb Peachtree, Atlanta",DeKalb Peachtree,Atlanta,US,33.8756,-84.302,BOS,0.29,1495.75,172.01,4.740212856253135
117,LEBL,BCN,"Barcelona, Barcelona",,Barcelona,ES,41.2971,2.078459,BOS,0.29,5873.5,675.45,18.613899039335973
118,KBLM,BLM,"Monmouth Executive, Belmar/Farmingdale",Monmouth Executive,Belmar/Farmingdale,US,40.1869,-74.1249,BOS,0.29,355.86,40.92,1.1276641478860432
119,KCHO,CHO,"Charlottesville Albemarle, Charlottesville",Albemarle,Charlottesville,US,38.1386,-78.4529,BOS,0.29,787.73,90.59,2.4964588259285594
120,KVPS,VPS,"Eglin Air Force Base, Valparaiso",Eglin Air Force Base,Valparaiso,US,30.4832,-86.5254,BOS,0.29,1911.06,219.77,6.056372184284353
121,KGSP,GSP,"Greenville Spartanburg, Greenville",Spartanburg,Greenville,US,34.8957,-82.2189,BOS,0.29,1278.73,147.05,4.052370795372498
122,KAPF,APF,"Naples Municipal, Naples",Municipal,Naples,US,26.1526,-81.7753,BOS,0.29,2049.66,235.71,6.495643115792259
123,LLBG,TLV,"Ben Gurion, Tel Aviv Yafo",Ben Gurion,Tel Aviv Yafo,IL,32.0114,34.8867,BOS,0.29,8837.67,1016.33,28.00779333873466
124,KBGR,BGR,"Bangor, Bangor",,Bangor,US,44.8074,-68.8281,BOS,0.14,323.45,37.2,1.0251492253509484
125,KBCT,BCT,"Boca Raton, Boca Raton",,Boca Raton,US,26.378498,-80.1077,BOS,0.14,1958.08,225.18,6.20545974635824
126,TBPB,BGI,"Sir Grantley Adams, Bridgetown",Sir Grantley Adams,Bridgetown,BB,13.0746,-59.4925,BOS,0.14,3431.52,394.62,10.87484912118256
127,KCDW,CDW,"Essex County, Caldwell",Essex County,Caldwell,US,40.8752,-74.2814,BOS,0.14,318.95,36.68,1.0108191824159352
128,KCRQ,CLD,"Mc Clellan-Palomar, Carlsbad",Mc Clellan-Palomar,Carlsbad,US,33.1283,-117.28,BOS,0.14,4150.85,477.35,13.15470383659342
129,KBKL,BKL,"Burke Lakefront, Cleveland",Burke Lakefront,Cleveland,US,41.5175,-81.6833,BOS,0.14,889.53,102.3,2.819160369715108
130,KCGF,CGF,"Cuyahoga County, Cleveland",Cuyahoga County,Cleveland,US,41.5651,-81.4864,BOS,0.14,872.46,100.33,2.7648715532113077
131,KMQS,CTH,"Chester County G O Carlson, Coatesville",Chester County G O Carlson,Coatesville,US,39.979,-75.8655,BOS,0.14,485.98,55.89,1.5402040377651747
132,KDAL,DAL,"Dallas Love Field, Dallas",Love Field,Dallas,US,32.8471,-96.8518,BOS,0.14,2501.27,287.65,7.926993942801082
133,KEGE,EGE,"Eagle County Regional, Eagle",County Regional,Eagle,US,39.6426,-106.918,BOS,0.14,3013.52,346.55,9.550146882940085
134,KESN,ESN,"Easton Newnam Field, Easton",Newnam Field,Easton,US,38.8042,-76.069,BOS,0.14,582.78,67.02,1.8469220721242086
135,MWCR,GCM,"Owen Roberts, Georgetown",Owen Roberts,Georgetown,KY,19.2928,-81.3577,BOS,0.14,2737.89,314.86,8.676840997150528
136,KBDL,BDL,"Bradley, Hartford",Bradley,Hartford,US,41.9389,-72.6832,BOS,0.14,146.22,16.82,0.46352177339792877
137,VHHH,HKG,"Chek Lap Kok, Hong Kong",Chek Lap Kok,Hong Kong,HK,22.3089,113.915,BOS,0.14,12825.92,1474.98,40.6471667851651
138,KLEX,LEX,"Blue Grass, Lexington",Blue Grass,Lexington,US,38.0365,-84.6059,BOS,0.14,1251.61,143.94,3.9666661155111695
139,MRLB,LIR,"Daniel Oduber Quiros, Liberia",Daniel Oduber Quiros,Liberia,CR,10.593299,-85.5444,BOS,0.14,3794.54,436.37,12.025386222214875
140,EGGW,LTN,"London Luton, London",Luton,London,GB,51.8747,-0.368333,BOS,0.14,5246.72,603.37,16.627534626344133
141,KONT,ONT,"Ontario, Ontario",,Ontario,US,34.056,-117.601,BOS,0.14,4129.73,474.92,13.087738443647106
142,KEWB,EWB,"New Bedford Regional, New Bedford",Regional,New Bedford,US,41.6761,-70.9569,BOS,0.14,76.71,8.82,0.24305957439772485
143,KPHF,PHF,"Newport News Williamsburg, Newport News",Williamsburg,Newport News,US,37.1319,-76.493,BOS,0.14,746.99,85.9,2.36721286176469
144,MYEH,ELH,"North Eleuthera, North Eleuthera",,North Eleuthera,BS,25.4749,-76.6835,BOS,0.14,1944.43,223.61,6.162194039804451
145,KECP,ECP,"Northwest Florida Beaches, Panama City Beach",Northwest Florida Beaches,Panama City Beach,US,30.3417,-85.7973,BOS,0.14,1876.58,215.81,5.947243395779251
